occurrenceID	taxonID
CT103089	T103089
CT103091	T103091
CT103092	T103092
CT103094	T103094
CT103095	T103095
CT103096	T103096
CT103097	T103097
CT103099	T103099
CT103104	T103104
CT103107	T103107
CT103109	T103109
CT103110	T103110
CT103111	T103111
CT103114	T103114
CT103115	T103115
CT103117	T103117
CT103118	T103118
CT103121	T103121
CT103122	T103122
CT103124	T103124
CT103126	T103126
CT103128	T103128
CT103131	T103131
CT103132	T103132
CT103133	T103133
CT103134	T103134
CT103136	T103136
CT103138	T103138
CT103142	T103142
CT103143	T103143
CT103144	T103144
CT103145	T103145
CT103146	T103146
CT103147	T103147
CT103149	T103149
CT103151	T103151
CT103157	T103157
CT103159	T103159
CT103160	T103160
CT103162	T103162
CT103163	T103163
CT103165	T103165
CT103166	T103166
CT103169	T103169
CT103170	T103170
CT103172	T103172
CT103173	T103173
CT103174	T103174
CT103175	T103175
CT103179	T103179
CT103182	T103182
CT103184	T103184
CT103185	T103185
CT103186	T103186
CT103188	T103188
CT103190	T103190
CT103192	T103192
CT103193	T103193
CT103195	T103195
CT103197	T103197
CT103200	T103200
CT103203	T103203
CT103206	T103206
CT103208	T103208
CT103211	T103211
CT103213	T103213
CT103214	T103214
CT103217	T103217
CT103218	T103218
CT103219	T103219
CT103220	T103220
CT103221	T103221
CT103224	T103224
CT103226	T103226
CT103227	T103227
CT103229	T103229
CT103231	T103231
CT103232	T103232
CT103233	T103233
CT103236	T103236
CT103237	T103237
CT103238	T103238
CT103240	T103240
CT103244	T103244
CT103246	T103246
CT103247	T103247
CT103249	T103249
CT103253	T103253
CT103256	T103256
CT103259	T103259
CT103260	T103260
CT103261	T103261
CT103263	T103263
CT103264	T103264
CT103265	T103265
CT103270	T103270
CT103271	T103271
CT103272	T103272
CT103273	T103273
CT103276	T103276
CT103279	T103279
CT103282	T103282
CT103285	T103285
CT103288	T103288
CT103291	T103291
CT103292	T103292
CT103293	T103293
CT103294	T103294
CT103295	T103295
