occurrenceID	taxonID
CT102169	T102169
CT102171	T102171
CT102173	T102173
CT102175	T102175
CT102177	T102177
CT102178	T102178
CT102181	T102181
CT102183	T102183
CT102184	T102184
CT102185	T102185
CT102186	T102186
CT102187	T102187
CT102188	T102188
CT102190	T102190
CT102193	T102193
CT102194	T102194
CT102196	T102196
CT102198	T102198
CT102200	T102200
CT102202	T102202
CT102204	T102204
CT102206	T102206
CT102207	T102207
CT102208	T102208
CT102210	T102210
CT102212	T102212
CT102214	T102214
CT102217	T102217
CT102221	T102221
CT102223	T102223
CT102224	T102224
CT102226	T102226
CT102227	T102227
CT102228	T102228
CT102229	T102229
CT102230	T102230
CT102232	T102232
CT102234	T102234
CT102235	T102235
CT102236	T102236
CT102237	T102237
CT102239	T102239
CT102240	T102240
CT102242	T102242
CT102244	T102244
CT102248	T102248
CT102249	T102249
CT102250	T102250
CT102251	T102251
CT102253	T102253
CT102254	T102254
CT102256	T102256
CT102258	T102258
CT102260	T102260
CT102262	T102262
CT102266	T102266
CT102267	T102267
CT102270	T102270
CT102271	T102271
CT102272	T102272
CT102273	T102273
CT102274	T102274
CT102275	T102275
CT102277	T102277
CT102278	T102278
CT102281	T102281
CT102282	T102282
CT102284	T102284
CT102285	T102285
CT102287	T102287
CT102289	T102289
CT102291	T102291
CT102292	T102292
CT102293	T102293
CT102294	T102294
CT102295	T102295
CT102297	T102297
CT102298	T102298
CT102299	T102299
CT102302	T102302
CT102303	T102303
CT102304	T102304
CT102306	T102306
CT102307	T102307
CT102308	T102308
CT102309	T102309
CT102310	T102310
CT102311	T102311
CT102312	T102312
CT102313	T102313
CT102314	T102314
CT102317	T102317
CT102318	T102318
CT102319	T102319
CT102321	T102321
CT102323	T102323
CT102325	T102325
CT102327	T102327
CT102330	T102330
CT102332	T102332
CT102334	T102334
CT102338	T102338
CT102339	T102339
CT102341	T102341
CT102342	T102342
CT102344	T102344
CT102345	T102345
CT102346	T102346
CT102348	T102348
CT102350	T102350
CT102352	T102352
CT102354	T102354
CT102355	T102355
CT102357	T102357
CT102358	T102358
CT102359	T102359
CT102360	T102360
CT102362	T102362
CT102364	T102364
CT102366	T102366
CT102367	T102367
CT102369	T102369
CT102370	T102370
CT102371	T102371
CT102373	T102373
CT102374	T102374
CT102375	T102375
CT102376	T102376
CT102377	T102377
CT102378	T102378
CT102380	T102380
CT102382	T102382
CT102384	T102384
CT102385	T102385
CT102386	T102386
CT102387	T102387
CT102388	T102388
CT102389	T102389
CT102390	T102390
CT102391	T102391
CT102392	T102392
CT102394	T102394
CT102396	T102396
CT102397	T102397
CT102399	T102399
CT102401	T102401
CT102402	T102402
CT102403	T102403
CT102405	T102405
CT102406	T102406
CT102407	T102407
CT102408	T102408
CT102409	T102409
CT102410	T102410
CT102411	T102411
CT102412	T102412
CT102415	T102415
CT102416	T102416
CT102417	T102417
CT102418	T102418
CT102419	T102419
CT102420	T102420
CT102423	T102423
CT102425	T102425
CT102427	T102427
CT102428	T102428
CT102429	T102429
CT102430	T102430
CT102431	T102431
CT102432	T102432
CT102434	T102434
CT102439	T102439
CT102443	T102443
CT102445	T102445
CT102446	T102446
CT102447	T102447
CT102449	T102449
CT102450	T102450
CT102451	T102451
CT102452	T102452
CT102453	T102453
CT102455	T102455
CT102456	T102456
CT102458	T102458
CT102461	T102461
CT102462	T102462
CT102463	T102463
CT102464	T102464
CT102465	T102465
CT102467	T102467
CT102468	T102468
CT102471	T102471
CT102472	T102472
CT102475	T102475
CT102476	T102476
CT102477	T102477
CT102478	T102478
CT102479	T102479
CT102480	T102480
CT102483	T102483
CT102484	T102484
CT102487	T102487
CT102488	T102488
CT102492	T102492
CT102494	T102494
