occurrenceID	taxonID
CT101637	T101637
CT101639	T101639
CT101641	T101641
CT101643	T101643
CT101644	T101644
CT101645	T101645
CT101647	T101647
CT101648	T101648
CT101649	T101649
CT101650	T101650
CT101652	T101652
CT101653	T101653
CT101654	T101654
CT101655	T101655
CT101656	T101656
CT101657	T101657
CT101659	T101659
CT101660	T101660
CT101662	T101662
CT101663	T101663
CT101665	T101665
CT101666	T101666
CT101667	T101667
CT101668	T101668
CT101669	T101669
CT101672	T101672
CT101673	T101673
CT101674	T101674
CT101675	T101675
CT101676	T101676
CT101677	T101677
CT101678	T101678
CT101679	T101679
CT101682	T101682
CT101684	T101684
CT101687	T101687
CT101688	T101688
CT101690	T101690
CT101692	T101692
CT101693	T101693
CT101694	T101694
CT101696	T101696
CT101697	T101697
CT101699	T101699
CT101700	T101700
CT101701	T101701
CT101703	T101703
CT101705	T101705
CT101707	T101707
CT101708	T101708
CT101710	T101710
CT101711	T101711
CT101715	T101715
CT101717	T101717
CT101718	T101718
CT101720	T101720
CT101721	T101721
CT101722	T101722
CT101725	T101725
CT101727	T101727
CT101728	T101728
CT101729	T101729
CT101731	T101731
CT101733	T101733
CT101734	T101734
CT101736	T101736
CT101738	T101738
CT101741	T101741
CT101743	T101743
CT101745	T101745
CT101747	T101747
CT101748	T101748
CT101749	T101749
CT101750	T101750
CT101756	T101756
CT101758	T101758
CT101760	T101760
CT101761	T101761
CT101763	T101763
CT101764	T101764
CT101765	T101765
CT101767	T101767
CT101769	T101769
CT101772	T101772
CT101773	T101773
CT101774	T101774
CT101776	T101776
CT101778	T101778
CT101779	T101779
CT101781	T101781
CT101782	T101782
CT101783	T101783
CT101784	T101784
CT101786	T101786
CT101788	T101788
CT101790	T101790
CT101791	T101791
CT101794	T101794
CT101796	T101796
CT101799	T101799
CT101801	T101801
CT101802	T101802
CT101804	T101804
CT101805	T101805
CT101807	T101807
CT101808	T101808
CT101811	T101811
CT101812	T101812
CT101813	T101813
CT101815	T101815
CT101816	T101816
